osm_id,amenity_type,name,latitude,longitude
2187991861,kindergarten,Addison Academy,27.736776,85.3374521
2187991864,college,"IEC College of Art & Fashion, Chandol",27.7275896,85.338357
2188310705,police,Unnamed,27.7315852,85.3089566
2188312994,fuel,Ujjwal Petrol Pump,27.666214,85.3322667
2188352448,grave_yard,Unnamed,27.6592916,85.340343
2189421534,bus_station,Dhapasi Height Micro Station,27.7498625,85.3380581
2190938405,drinking_water,Unnamed,27.6729426,85.3304625
2194093881,place_of_worship,मयूरबर्णा महाबिहार,27.6699318,85.3306335
2195425745,restaurant,4 BEES FAMILY RESTAURANT AND BAR WITH GAJAL,27.6755507,85.3157374
2199145190,kindergarten,Ankur PreSchool,27.7361543,85.3163165
2201363927,restaurant,Unnamed,27.7019585,85.3403413
2209544399,kindergarten,Hilaros Montessori Pre-School,27.6771472,85.3181269
2209544400,office,Trail Bridge Support Unit,27.6772625,85.3177378
2211121439,kindergarten,Moulding Minds Montessory,27.655785,85.3189231
2212506691,cafe,बेकरी क्याफे,27.7098873,85.3181147
2212605788,restaurant,Graveaty,27.7123375,85.313179
2212691681,drinking_water,सौग: हिटि गा:,27.6706309,85.3268223
2214390815,restaurant,Kyapchakii Restaurant,27.7251935,85.330922
2214528977,fuel,शिव शक्ति पेट्रोल पम्प,27.6604102,85.318898
2214585948,place_of_worship,नेपाल सोका गक्काई इन्टरनेशनल,27.6965321,85.2869954
2218324869,kindergarten,Swapna Batika Montessori School,27.6960927,85.3461211
2218533775,townhall,Dupat Guthi building,27.6696351,85.3300728
2218549743,place_of_worship,Su Bahal,27.670774,85.3302422
2218571376,place_of_worship,IBahi,27.6770125,85.3279947
2218658273,hospital,दिव्या संजीवनी अस्पताल,27.7066149,85.2867623
2218658277,kindergarten,फ्लोरेन्स,27.7066357,85.2873326
2220703613,place_of_worship,Karuna Bahi,27.6766585,85.3277745
2220703618,place_of_worship,Yampi Bahi,27.6768105,85.3278791
2224201461,place_of_worship,Konti Bahi,27.6772434,85.3256336
2224211577,place_of_worship,Om Bahal,27.67588,85.3278009
2224211581,place_of_worship,धुम बहाल,27.6747063,85.3257734
2224211582,place_of_worship,Kam Bahal,27.6762766,85.327428
2224243789,place_of_worship,पिन्चे बाहल,27.6704573,85.3308107
2224243790,place_of_worship,त्रि रत्न बिहार,27.6749012,85.3276507
2224243792,place_of_worship,कुवे बाहल,27.6708893,85.330408
2224243797,place_of_worship,थकु बाहा,27.6708916,85.3301076
2224243799,place_of_worship,Vaisajya Bihar,27.6746115,85.3277392
2224243804,shelter,Awa Guthi Chapa,27.674343,85.3279511
2224243806,place_of_worship,पिलाचे बाहल,27.6695875,85.3310061
2224243809,drinking_water,Unnamed,27.6747091,85.3282599
2224243811,place_of_worship,मनिकुटा बिहार,27.6749512,85.3278545
2224243817,drinking_water,Unnamed,27.6743981,85.328107
2224398912,shelter,Lalitpura Pati,27.6757039,85.3251565
2224488127,place_of_worship,मुसा गणेश,27.6736589,85.3268326
2224488139,shelter,Jabar aja and aji pati,27.6740438,85.3272162
2224512172,place_of_worship,सेतो गणेश,27.6759465,85.3277231
2224512173,shelter,Takha falcha,27.6744049,85.3280262
2224512177,place_of_worship,चियाग्मा,27.6734142,85.3288872
2224512178,drinking_water,Subahal Drinking Water,27.6706754,85.3306279
2224512179,bench,Unnamed,27.6746543,85.3281844
2236165892,restaurant,Unnamed,27.717237,85.3471063
2236622338,hospital,भारोसा अस्पताल,27.6943238,85.3370557
2236868112,bank,Dream Saving And Credit Co-operative Ltd,27.6955597,85.3409691
2236875456,pharmacy,Pashupati Medical Hall,27.6951547,85.3406385
2236904565,dancing_school,ABC Multifilms and Dance School,27.6954297,85.344491
2236942184,cafe,Meet Point Cafe,27.6953955,85.3408978
2236944118,place_of_worship,पञ्चकुमारी भगवती मन्दिर,27.6928172,85.3385535
2236944127,kindergarten,Steiner Montesswori,27.6938952,85.3384741
2236944132,school,स्टिनर एकेडेमी,27.6938686,85.3387237
2248198014,clinic,Prime Health Care Center,27.7209103,85.345633
2249051082,school,Padmakanya Vidyashram H.S. School and College,27.705349,85.3259582
2249066995,place_of_worship,कालिकास्थान मन्दिर,27.7032618,85.3265188
2249121878,social_facility,Nisahaya Sewa Sadhan,27.6872927,85.3449054
2272268772,fast_food,Burger Point,27.7038502,85.3083308
2274830395,dentist,Kantipur Dental Hospital,27.736695,85.3242921
2282086109,hospital,नेपाल डायग्नोस्टिक सेन्टर प्रा. लि.,27.7010578,85.3116341
2282086116,dentist,Sundhara Dental Hospital,27.701029,85.3116341
2285565910,dentist,बुद्ध दन्त अस्पताल,27.7184174,85.3472256
2286675864,language_school,"Alta-Vista, A school of Spanish Language",27.7057461,85.3229725
2287631187,dentist,नवा बुद्ध दन्त उपचार,27.7188826,85.3496422
2297964889,toilets,Unnamed,27.714378,85.3149445
2297964894,cafe,Unnamed,27.719572,85.3204067
