place_id,name,lat,lng,type,rating,review_count,price_level,is_operational,source,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,suitability
osm_6536357485,मेन्जसँग कफी,27.7155088,85.3091966,cafe,,,,True,openstreetmap,96.0,26.0,0.0,285.98,12.0,383.78,17.0,1.0,144.64,5.0,271.77,7.0,351.0,101.86,2.16,10.0,10.0,High
osm_5917453286,Fudo Cafe,27.7295623,85.3308368,cafe,,,,True,openstreetmap,15.0,6.0,0.0,269.42,0.0,500.0,14.0,4.0,130.41,3.0,225.66,0.0,500.0,54.75,0.0,8.9,10.0,High
osm_4730045290,Unknown Cafe,27.7366443,85.324754,cafe,,,,True,openstreetmap,5.0,3.0,0.0,158.36,4.0,239.89,3.0,0.0,331.21,5.0,115.09,1.0,367.82,43.29,1.6,4.7,3.68,High
osm_6762952886,Unknown Cafe,27.7365684,85.3484976,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_2174589424,Lumbini Cafe,27.6948877,85.3405908,cafe,,,,True,openstreetmap,10.0,2.0,0.0,321.11,12.0,381.94,28.0,3.0,147.62,5.0,290.79,0.0,500.0,103.13,1.42,10.0,6.87,High
osm_6822853485,Unknown Cafe,27.7137079,85.3246322,cafe,,,,True,openstreetmap,15.0,2.0,0.0,343.81,17.0,375.32,4.0,1.0,71.55,2.0,218.07,1.0,437.66,26.74,1.66,5.8,10.0,High
osm_3508175183,Shreega Cafe,27.7096798,85.3100636,cafe,,,,True,openstreetmap,58.0,7.0,0.0,356.73,10.0,368.45,35.0,10.0,56.87,4.0,238.89,1.0,461.01,118.41,1.68,10.0,10.0,High
osm_4248374398,राजन हाउस,27.6745667,85.3458842,cafe,,,,True,openstreetmap,16.0,4.0,0.0,285.14,15.0,325.39,17.0,2.0,63.22,4.0,139.34,3.0,232.75,80.21,3.38,10.0,10.0,High
osm_6630330884,Supa Deurali Khaja Ghar,27.6886292,85.3441701,cafe,,,,True,openstreetmap,15.0,2.0,0.0,337.85,25.0,340.9,16.0,4.0,118.31,2.0,322.78,1.0,429.58,57.3,2.1,7.9,10.0,High
osm_5412418168,Charlotte Cafe,27.6703332,85.3201528,cafe,,,,True,openstreetmap,,,,,,,,,,,,,,,,,,
osm_2785785596,Julie's Bakery Cafe,27.7179184,85.3168442,cafe,,,,True,openstreetmap,26.0,4.0,0.0,363.72,8.0,357.5,6.0,1.0,193.83,1.0,280.84,4.0,64.51,36.92,3.56,9.4,10.0,High
osm_4456060691,Chamena Griha,27.6951667,85.3238823,cafe,,,,True,openstreetmap,3.0,1.0,0.0,302.77,19.0,384.71,1.0,0.0,463.16,2.0,229.59,1.0,465.82,19.1,1.47,2.9,2.41,High
osm_5255676225,लामी कफी,27.7142304,85.2946546,cafe,,,,True,openstreetmap,3.0,1.0,0.0,330.93,15.0,220.64,6.0,1.0,180.92,2.0,451.7,0.0,500.0,28.01,3.35,4.6,2.41,High
osm_4691672790,Unknown Cafe,27.7182397,85.3102307,cafe,,,,True,openstreetmap,57.0,8.0,0.0,345.37,11.0,278.24,16.0,4.0,12.2,3.0,105.19,7.0,91.37,86.58,4.5,10.0,10.0,High
osm_4774250522,हिमालय जाभा कफी,27.7150517,85.3108944,cafe,,,,True,openstreetmap,103.0,47.0,0.0,225.39,13.0,434.19,15.0,1.0,190.4,5.0,274.65,5.0,440.34,89.13,1.05,10.0,10.0,High
osm_6309935086,Unknown Cafe,27.6907642,85.3342747,cafe,,,,True,openstreetmap,19.0,7.0,0.0,265.3,43.0,317.9,23.0,3.0,79.15,7.0,220.67,3.0,169.37,114.59,4.32,10.0,10.0,High
osm_5174102521,Unknown Cafe,27.6900618,85.3676639,cafe,,,,True,openstreetmap,4.0,2.0,0.0,178.06,3.0,137.61,8.0,0.0,216.19,0.0,500.0,0.0,500.0,20.37,1.3,2.4,3.05,High
